date,close
1996-11-01,44.56176333073798
1996-11-04,44.74918398413332
1996-11-05,45.218377352078264
1996-11-06,45.88005794135283
1996-11-07,46.07381280193466
1996-11-08,46.274531826891796
1996-11-11,46.34101564323298
1996-11-12,46.19474976562609
1996-11-13,46.29416047988414
1996-11-14,46.59492403872543
1996-11-15,46.70509784604086
1996-11-18,46.66710824262701
1996-11-19,46.992563096638996
1996-11-20,47.1059059387663
1996-11-21,47.02992280618267
1996-11-22,47.40856703072998
1996-11-25,47.93411487826621
1996-11-26,47.86636348599145
1996-11-27,47.805576194773366
1996-11-29,47.93348112195875
1996-12-02,47.90435315272395
1996-12-03,47.38007674355857
1996-12-04,47.17872009985669
1996-12-05,47.13313251244143
1996-12-06,46.83046755804046
1996-12-09,47.47378713357488
1996-12-10,47.333217717772456
1996-12-11,46.90201787899728
1996-12-12,46.17828628500834
1996-12-13,46.13649768959378
1996-12-16,45.65147466065718
1996-12-17,45.97186687249083
1996-12-18,46.32011941430706
1996-12-19,47.22051255770853
1996-12-20,47.417432590664966
1996-12-23,47.29396047510639
1996-12-24,47.55420301446669
1996-12-26,47.857497926056475
1996-12-27,47.918915174463386
1996-12-30,47.73275823456433
1996-12-31,46.90265169862339
1997-01-02,46.66647442300089
1997-01-03,47.364247082566926
1997-01-06,47.340185681266405
1997-01-07,47.693500928579624
1997-01-08,47.388304621430166
1997-01-09,47.79607687853092
1997-01-10,48.090510092623006
1997-01-13,48.09114391224911
1997-01-14,48.6831716503706
1997-01-15,48.578064410989455
1997-01-16,48.739526193280525
1997-01-17,49.146030811129066
1997-01-20,49.179591528672034
1997-01-21,49.560767169286486
1997-01-22,49.783016179477
1997-01-23,49.23404467602228
1997-01-24,48.78828281550768
1997-01-27,48.44003027369145
1997-01-28,48.44003027369145
1997-01-29,48.91365246418864
1997-01-30,49.652579962861765
1997-01-31,49.77858343116883
1997-02-03,49.81467550146029
1997-02-04,49.97487357025508
1997-02-05,49.279636062556186
1997-02-06,49.398041610180485
1997-02-07,49.99386840362133
1997-02-10,49.7323620874461
1997-02-11,49.995769799181
1997-02-12,50.830309083430116
1997-02-13,51.40334198818536
1997-02-14,51.19185600773356
1997-02-18,51.68637449047533
1997-02-19,51.44576440322602
1997-02-20,50.832206616552504
1997-02-21,50.76699043946353
1997-02-24,51.30583266948698
1997-02-25,51.41664029642851
1997-02-26,51.014564627769495
1997-02-27,50.34275470174502
1997-02-28,50.073650464887024
1997-03-03,50.3579506064292
1997-03-04,50.0818822051959
1997-03-05,50.78091864157686
1997-03-06,50.56373619932061
1997-03-07,50.96960699754305
1997-03-10,51.51921618306116
1997-03-11,51.372950305454275
1997-03-12,50.924653229753886
1997-03-13,49.99386840362133
1997-03-14,50.22244775856105
1997-03-17,50.383279583663295
1997-03-18,50.00019868505189
1997-03-19,49.753892135998136
1997-03-20,49.556338220096954
1997-03-21,49.648147214553596
1997-03-24,50.07808327651384
1997-03-25,49.9628428379455
1997-03-26,50.053388055587206
1997-03-27,49.00103250945575
1997-03-31,47.93981140338931
1997-04-01,48.09937565255798
1997-04-02,47.495947075997094
1997-04-03,47.509245384240245
1997-04-04,47.989201781923924
1997-04-07,48.25703844284835
1997-04-08,48.509679199088595
1997-04-09,48.16015908133879
1997-04-10,48.01706217522515
1997-04-11,46.70699924160053
1997-04-14,47.091973810897045
1997-04-15,47.78784513822204
1997-04-16,48.345686064049026
1997-04-17,48.23424468080004
1997-04-18,48.52361132695785
1997-04-21,48.145596996280716
1997-04-22,49.04725385317848
1997-04-23,48.98583666809021
1997-04-24,48.83007141092224
1997-04-25,48.462190216113655
1997-04-28,48.94278043342344
1997-04-29,50.278168481844865
1997-04-30,50.7397638657884
1997-05-01,50.56183860287958
1997-05-02,51.476156149275745
1997-05-05,52.57283550600755
1997-05-06,52.412641362968685
1997-05-07,51.64395207543466
1997-05-08,51.937751533219284
1997-05-09,52.22395300700249
1997-05-12,53.03949359544808
1997-05-13,52.75266216447604
1997-05-14,52.93691770881543
1997-05-15,53.30670029918368
